"","Aname","Agenres","Asongs","Apopularity","Alink"
"76","Zezé Di Camargo e Luciano","Sertanejo; Romântico; Country",466,33.2,"/zeze-di-camargo-e-luciano/"
"77","Luan Santana","Romântico; Sertanejo; Pop",275,14.7,"/luan-santana/"
"78","Jorge e Mateus","Romântico; Sertanejo",289,13.5,"/jorge-e-mateus/"
"79","Bruno e Marrone","Romântico; Sertanejo",392,9.1,"/bruno-e-marrone/"
"80","Marília Mendonça","Sertanejo; Romântico; MPB",137,9.8,"/marilia-mendonca/"
"81","Gusttavo Lima","Sertanejo; Romântico",373,9.4,"/gusttavo-lima/"
"82","Henrique e Juliano","Sertanejo; Romântico",274,10,"/henrique-e-juliano/"
"83","Chitãozinho e Xororó","Romântico; Sertanejo; Country",478,11.8,"/chitaozinho-e-xororo/"
"84","Milionário e José Rico","Sertanejo; Romântico",363,6,"/milionario-e-jose-rico/"
"85","Matheus e Kauan","Sertanejo; Romântico",196,4.2,"/matheus-e-kauan/"
"86","Daniel","Sertanejo; Romântico",456,5.6,"/daniel/"
"87","Zé Neto e Cristiano","Sertanejo; Romântico",157,5.3,"/ze-neto-e-cristiano/"
"88","Leandro e Leonardo","Romântico; Sertanejo",206,4.3,"/leandro-leonardo/"
"89","Daniel e Samuel","Sertanejo; Gospel/Religioso; Romântico",301,5.4,"/daniel-e-samuel/"
"90","Tião Carreiro e Pardinho","Sertanejo; Pagode",413,3.4,"/tiao-carreiro-e-pardinho/"
